Case ID;Activity;Resource;Start Timestamp;Complete Timestamp;Variant;Variant index;defectFixed;defectType;numberRepairs;phoneType
1004;Repair (Simple);SolverS2;1970/01/22 06:40:00.000;1970/01/22 06:51:00.000;Variant 12;12;;;;
1004;Test Repair;Tester5;1970/01/22 06:51:00.000;1970/01/22 07:00:00.000;Variant 12;12;true;;1;
1004;Inform User;System;1970/01/22 07:10:00.000;1970/01/22 07:10:00.000;Variant 12;12;;;;
1005;Register;System;1970/01/21 20:31:00.000;1970/01/21 20:31:00.000;Variant 12;12;;;;
1005;Analyze Defect;Tester5;1970/01/21 20:31:00.000;1970/01/21 20:40:00.000;Variant 12;12;;3;;T2
1005;Repair (Simple);SolverS3;1970/01/21 20:47:00.000;1970/01/21 21:01:00.000;Variant 12;12;;;;
1005;Test Repair;Tester6;1970/01/21 21:01:00.000;1970/01/21 21:11:00.000;Variant 12;12;true;;1;
1005;Inform User;System;1970/01/21 21:16:00.000;1970/01/21 21:16:00.000;Variant 12;12;;;;
1006;Register;System;1970/01/22 09:34:00.000;1970/01/22 09:34:00.000;Variant 10;10;;;;
1006;Analyze Defect;Tester3;1970/01/22 09:34:00.000;1970/01/22 09:40:00.000;Variant 10;10;;7;;T3
1006;Repair (Complex);SolverC3;1970/01/22 09:54:00.000;1970/01/22 10:34:00.000;Variant 10;10;;;;
1006;Inform User;System;1970/01/22 10:27:00.000;1970/01/22 10:27:00.000;Variant 10;10;;;;
1006;Test Repair;Tester5;1970/01/22 10:34:00.000;1970/01/22 10:44:00.000;Variant 10;10;true;;0;
1007;Register;System;1970/01/21 14:27:00.000;1970/01/21 14:27:00.000;Variant 29;29;;;;
1007;Analyze Defect;Tester6;1970/01/21 14:27:00.000;1970/01/21 14:33:00.000;Variant 29;29;;2;;T1
1007;Inform User;System;1970/01/21 14:51:00.000;1970/01/21 14:51:00.000;Variant 29;29;;;;
1007;Repair (Simple);SolverS3;1970/01/21 14:54:00.000;1970/01/21 15:14:00.000;Variant 29;29;;;;
1007;Test Repair;Tester3;1970/01/21 15:14:00.000;1970/01/21 15:19:00.000;Variant 29;29;true;;1;
1008;Register;System;1970/01/21 23:25:00.000;1970/01/21 23:25:00.000;Variant 46;46;;;;
1008;Analyze Defect;Tester5;1970/01/21 23:25:00.000;1970/01/21 23:32:00.000;Variant 46;46;;2;;T3
1008;Repair (Simple);SolverS1;1970/01/21 23:56:00.000;1970/01/22 00:02:00.000;Variant 46;46;;;;
1008;Inform User;System;1970/01/22 00:00:00.000;1970/01/22 00:00:00.000;Variant 46;46;;;;
1008;Test Repair;Tester1;1970/01/22 00:02:00.000;1970/01/22 00:07:00.000;Variant 46;46;false;;1;
1008;Restart Repair;System;1970/01/22 00:14:00.000;1970/01/22 00:14:00.000;Variant 46;46;;;;
1008;Repair (Simple);SolverS1;1970/01/22 00:14:00.000;1970/01/22 00:21:00.000;Variant 46;46;;;;
1008;Test Repair;Tester6;1970/01/22 00:21:00.000;1970/01/22 00:30:00.000;Variant 46;46;false;;2;
1008;Restart Repair;System;1970/01/22 00:35:00.000;1970/01/22 00:35:00.000;Variant 46;46;;;;
1008;Repair (Simple);SolverS2;1970/01/22 00:35:00.000;1970/01/22 00:42:00.000;Variant 46;46;;;;
1008;Test Repair;Tester2;1970/01/22 00:42:00.000;1970/01/22 00:47:00.000;Variant 46;46;true;;3;
1009;Register;System;1970/01/21 15:59:00.000;1970/01/21 15:59:00.000;Variant 13;13;;;;
1009;Analyze Defect;Tester1;1970/01/21 15:59:00.000;1970/01/21 16:04:00.000;Variant 13;13;;7;;T2
1009;Repair (Complex);SolverC2;1970/01/21 16:17:00.000;1970/01/21 16:29:00.000;Variant 13;13;;;;
1009;Test Repair;Tester4;1970/01/21 16:29:00.000;1970/01/21 16:36:00.000;Variant 13;13;true;;0;
1009;Inform User;System;1970/01/21 16:46:00.000;1970/01/21 16:46:00.000;Variant 13;13;;;;
101;Register;System;1970/01/03 23:00:00.000;1970/01/03 23:00:00.000;Variant 4;4;;;;
101;Analyze Defect;Tester2;1970/01/03 23:00:00.000;1970/01/03 23:05:00.000;Variant 4;4;;8;;T2
101;Inform User;System;1970/01/03 23:31:00.000;1970/01/03 23:31:00.000;Variant 4;4;;;;
101;Repair (Complex);SolverC3;1970/01/03 23:33:00.000;1970/01/04 00:14:00.000;Variant 4;4;;;;
101;Test Repair;Tester6;1970/01/04 00:14:00.000;1970/01/04 00:24:00.000;Variant 4;4;true;;0;
101;Archive Repair;System;1970/01/04 00:30:00.000;1970/01/04 00:30:00.000;Variant 4;4;true;;0;
1010;Register;System;1970/01/22 08:08:00.000;1970/01/22 08:08:00.000;Variant 33;33;;;;
1010;Analyze Defect;Tester1;1970/01/22 08:08:00.000;1970/01/22 08:13:00.000;Variant 33;33;;2;;T2
1010;Repair (Simple);SolverS1;1970/01/22 08:30:00.000;1970/01/22 08:37:00.000;Variant 33;33;;;;
1010;Test Repair;Tester6;1970/01/22 08:37:00.000;1970/01/22 08:47:00.000;Variant 33;33;false;;1;
1010;Restart Repair;System;1970/01/22 08:53:00.000;1970/01/22 08:53:00.000;Variant 33;33;;;;
1010;Repair (Simple);SolverS2;1970/01/22 08:53:00.000;1970/01/22 09:05:00.000;Variant 33;33;;;;
1010;Inform User;System;1970/01/22 08:56:00.000;1970/01/22 08:56:00.000;Variant 33;33;;;;
1010;Test Repair;Tester1;1970/01/22 09:05:00.000;1970/01/22 09:10:00.000;Variant 33;33;true;;2;
1011;Register;System;1970/01/21 14:30:00.000;1970/01/21 14:30:00.000;Variant 10;10;;;;
1011;Analyze Defect;Tester5;1970/01/21 14:30:00.000;1970/01/21 14:39:00.000;Variant 10;10;;9;;T2
1011;Repair (Complex);SolverC3;1970/01/21 14:43:00.000;1970/01/21 15:33:00.000;Variant 10;10;;;;
1011;Inform User;System;1970/01/21 15:23:00.000;1970/01/21 15:23:00.000;Variant 10;10;;;;
1011;Test Repair;Tester5;1970/01/21 15:33:00.000;1970/01/21 15:38:00.000;Variant 10;10;true;;0;
1012;Register;System;1970/01/21 20:53:00.000;1970/01/21 20:53:00.000;Variant 13;13;;;;
1012;Analyze Defect;Tester6;1970/01/21 20:53:00.000;1970/01/21 20:58:00.000;Variant 13;13;;8;;T2
1012;Repair (Complex);SolverC1;1970/01/21 21:17:00.000;1970/01/21 21:32:00.000;Variant 13;13;;;;
1012;Test Repair;Tester6;1970/01/21 21:32:00.000;1970/01/21 21:38:00.000;Variant 13;13;true;;0;
1012;Inform User;System;1970/01/21 21:48:00.000;1970/01/21 21:48:00.000;Variant 13;13;;;;
1013;Register;System;1970/01/21 22:52:00.000;1970/01/21 22:52:00.000;Variant 10;10;;;;
1013;Analyze Defect;Tester6;1970/01/21 22:52:00.000;1970/01/21 22:58:00.000;Variant 10;10;;9;;T3
1013;Repair (Complex);SolverC3;1970/01/21 23:24:00.000;1970/01/22 00:08:00.000;Variant 10;10;;;;
1013;Inform User;System;1970/01/21 23:40:00.000;1970/01/21 23:40:00.000;Variant 10;10;;;;
1013;Test Repair;Tester2;1970/01/22 00:08:00.000;1970/01/22 00:18:00.000;Variant 10;10;true;;0;
1014;Register;System;1970/01/22 22:31:00.000;1970/01/22 22:31:00.000;Variant 12;12;;;;
1014;Analyze Defect;Tester4;1970/01/22 22:31:00.000;1970/01/22 22:40:00.000;Variant 12;12;;3;;T1
1014;Repair (Simple);SolverS3;1970/01/22 22:41:00.000;1970/01/22 22:55:00.000;Variant 12;12;;;;
1014;Test Repair;Tester6;1970/01/22 22:55:00.000;1970/01/22 23:03:00.000;Variant 12;12;true;;1;
1014;Inform User;System;1970/01/22 22:58:00.000;1970/01/22 22:58:00.000;Variant 12;12;;;;
1015;Register;System;1970/01/22 03:15:00.000;1970/01/22 03:15:00.000;Variant 13;13;;;;
1015;Analyze Defect;Tester1;1970/01/22 03:15:00.000;1970/01/22 03:24:00.000;Variant 13;13;;10;;T1
1015;Repair (Complex);SolverC1;1970/01/22 03:37:00.000;1970/01/22 03:47:00.000;Variant 13;13;;;;
1015;Test Repair;Tester2;1970/01/22 03:47:00.000;1970/01/22 03:54:00.000;Variant 13;13;true;;0;
1015;Inform User;System;1970/01/22 03:55:00.000;1970/01/22 03:55:00.000;Variant 13;13;;;;
1016;Register;System;1970/01/22 20:32:00.000;1970/01/22 20:32:00.000;Variant 46;46;;;;
1016;Analyze Defect;Tester4;1970/01/22 20:32:00.000;1970/01/22 20:42:00.000;Variant 46;46;;5;;T3
1016;Repair (Simple);SolverS2;1970/01/22 21:07:00.000;1970/01/22 21:22:00.000;Variant 46;46;;;;
1016;Inform User;System;1970/01/22 21:21:00.000;1970/01/22 21:21:00.000;Variant 46;46;;;;
1016;Test Repair;Tester4;1970/01/22 21:22:00.000;1970/01/22 21:29:00.000;Variant 46;46;false;;1;
1016;Restart Repair;System;1970/01/22 21:39:00.000;1970/01/22 21:39:00.000;Variant 46;46;;;;
1016;Repair (Simple);SolverS1;1970/01/22 21:39:00.000;1970/01/22 21:46:00.000;Variant 46;46;;;;
1016;Test Repair;Tester6;1970/01/22 21:46:00.000;1970/01/22 21:51:00.000;Variant 46;46;false;;2;
1016;Restart Repair;System;1970/01/22 22:01:00.000;1970/01/22 22:01:00.000;Variant 46;46;;;;
1016;Repair (Simple);SolverS3;1970/01/22 22:01:00.000;1970/01/22 22:14:00.000;Variant 46;46;;;;
1016;Test Repair;Tester3;1970/01/22 22:14:00.000;1970/01/22 22:19:00.000;Variant 46;46;true;;3;
1017;Register;System;1970/01/22 03:48:00.000;1970/01/22 03:48:00.000;Variant 21;21;;;;
1017;Analyze Defect;Tester1;1970/01/22 03:48:00.000;1970/01/22 03:58:00.000;Variant 21;21;;1;;T3
1017;Repair (Simple);SolverS2;1970/01/22 04:28:00.000;1970/01/22 04:41:00.000;Variant 21;21;;;;
1017;Inform User;System;1970/01/22 04:39:00.000;1970/01/22 04:39:00.000;Variant 21;21;;;;
1017;Test Repair;Tester3;1970/01/22 04:41:00.000;1970/01/22 04:50:00.000;Variant 21;21;true;;1;
1018;Register;System;1970/01/22 20:16:00.000;1970/01/22 20:16:00.000;Variant 26;26;;;;
1018;Analyze Defect;Tester1;1970/01/22 20:16:00.000;1970/01/22 20:21:00.000;Variant 26;26;;10;;T2
1018;Inform User;System;1970/01/22 20:36:00.000;1970/01/22 20:36:00.000;Variant 26;26;;;;
1018;Repair (Complex);SolverC2;1970/01/22 20:46:00.000;1970/01/22 21:04:00.000;Variant 26;26;;;;
1018;Test Repair;Tester1;1970/01/22 21:04:00.000;1970/01/22 21:10:00.000;Variant 26;26;true;;0;
1019;Register;System;1970/01/22 20:16:00.000;1970/01/22 20:16:00.000;Variant 13;13;;;;
1019;Analyze Defect;Tester4;1970/01/22 20:16:00.000;1970/01/22 20:22:00.000;Variant 13;13;;7;;T2
1019;Repair (Complex);SolverC3;1970/01/22 20:23:00.000;1970/01/22 21:03:00.000;Variant 13;13;;;;
1019;Test Repair;Tester6;1970/01/22 21:03:00.000;1970/01/22 21:12:00.000;Variant 13;13;true;;0;
1019;Inform User;System;1970/01/22 21:08:00.000;1970/01/22 21:08:00.000;Variant 13;13;;;;
102;Register;System;1970/01/03 12:19:00.000;1970/01/03 12:19:00.000;Variant 1;1;;;;
102;Analyze Defect;Tester1;1970/01/03 12:19:00.000;1970/01/03 12:25:00.000;Variant 1;1;;9;;T2
102;Repair (Complex);SolverC3;1970/01/03 12:50:00.000;1970/01/03 13:32:00.000;Variant 1;1;;;;
102;Inform User;System;1970/01/03 13:12:00.000;1970/01/03 13:12:00.000;Variant 1;1;;;;
102;Test Repair;Tester6;1970/01/03 13:32:00.000;1970/01/03 13:41:00.000;Variant 1;1;true;;0;
102;Archive Repair;System;1970/01/03 13:49:00.000;1970/01/03 13:49:00.000;Variant 1;1;true;;0;
1020;Register;System;1970/01/21 18:47:00.000;1970/01/21 18:47:00.000;Variant 10;10;;;;
1020;Analyze Defect;Tester2;1970/01/21 18:47:00.000;1970/01/21 18:53:00.000;Variant 10;10;;10;;T2
1020;Repair (Complex);SolverC3;1970/01/21 19:02:00.000;1970/01/21 19:46:00.000;Variant 10;10;;;;
1020;Inform User;System;1970/01/21 19:21:00.000;1970/01/21 19:21:00.000;Variant 10;10;;;;
1020;Test Repair;Tester5;1970/01/21 19:46:00.000;1970/01/21 19:53:00.000;Variant 10;10;true;;0;
1021;Register;System;1970/01/22 20:46:00.000;1970/01/22 20:46:00.000;Variant 13;13;;;;
1021;Analyze Defect;Tester6;1970/01/22 20:46:00.000;1970/01/22 20:55:00.000;Variant 13;13;;9;;T1
1021;Repair (Complex);SolverC2;1970/01/22 21:20:00.000;1970/01/22 21:34:00.000;Variant 13;13;;;;
1021;Test Repair;Tester2;1970/01/22 21:34:00.000;1970/01/22 21:42:00.000;Variant 13;13;true;;0;
1021;Inform User;System;1970/01/22 21:38:00.000;1970/01/22 21:38:00.000;Variant 13;13;;;;
1022;Register;System;1970/01/22 20:21:00.000;1970/01/22 20:21:00.000;Variant 21;21;;;;
1022;Analyze Defect;Tester5;1970/01/22 20:21:00.000;1970/01/22 20:26:00.000;Variant 21;21;;2;;T3
1022;Repair (Simple);SolverS3;1970/01/22 20:49:00.000;1970/01/22 21:07:00.000;Variant 21;21;;;;
1022;Inform User;System;1970/01/22 20:50:00.000;1970/01/22 20:50:00.000;Variant 21;21;;;;
1022;Test Repair;Tester2;1970/01/22 21:07:00.000;1970/01/22 21:13:00.000;Variant 21;21;true;;1;
1023;Register;System;1970/01/22 07:38:00.000;1970/01/22 07:38:00.000;Variant 13;13;;;;
1023;Analyze Defect;Tester1;1970/01/22 07:38:00.000;1970/01/22 07:47:00.000;Variant 13;13;;7;;T3
1023;Repair (Complex);SolverC1;1970/01/22 07:58:00.000;1970/01/22 08:12:00.000;Variant 13;13;;;;
1023;Test Repair;Tester2;1970/01/22 08:12:00.000;1970/01/22 08:18:00.000;Variant 13;13;true;;0;
1023;Inform User;System;1970/01/22 08:28:00.000;1970/01/22 08:28:00.000;Variant 13;13;;;;
1024;Register;System;1970/01/23 00:32:00.000;1970/01/23 00:32:00.000;Variant 49;49;;;;
1024;Analyze Defect;Tester5;1970/01/23 00:32:00.000;1970/01/23 00:37:00.000;Variant 49;49;;5;;T2
1024;Repair (Simple);SolverS1;1970/01/23 00:53:00.000;1970/01/23 01:00:00.000;Variant 49;49;;;;
1024;Test Repair;Tester5;1970/01/23 01:00:00.000;1970/01/23 01:07:00.000;Variant 49;49;false;;1;
1024;Restart Repair;System;1970/01/23 01:12:00.000;1970/01/23 01:12:00.000;Variant 49;49;;;;
1024;Repair (Simple);SolverS2;1970/01/23 01:12:00.000;1970/01/23 01:22:00.000;Variant 49;49;;;;
1024;Inform User;System;1970/01/23 01:18:00.000;1970/01/23 01:18:00.000;Variant 49;49;;;;
1024;Test Repair;Tester1;1970/01/23 01:22:00.000;1970/01/23 01:29:00.000;Variant 49;49;false;;2;
1024;Restart Repair;System;1970/01/23 01:34:00.000;1970/01/23 01:34:00.000;Variant 49;49;;;;
1024;Repair (Complex);SolverC2;1970/01/23 01:34:00.000;1970/01/23 01:48:00.000;Variant 49;49;;;;
1024;Test Repair;Tester4;1970/01/23 01:48:00.000;1970/01/23 01:58:00.000;Variant 49;49;true;;2;
1025;Register;System;1970/01/21 18:17:00.000;1970/01/21 18:17:00.000;Variant 12;12;;;;
1025;Analyze Defect;Tester6;1970/01/21 18:17:00.000;1970/01/21 18:26:00.000;Variant 12;12;;1;;T1
1025;Repair (Simple);SolverS2;1970/01/21 18:40:00.000;1970/01/21 18:50:00.000;Variant 12;12;;;;
1025;Test Repair;Tester1;1970/01/21 18:50:00.000;1970/01/21 18:57:00.000;Variant 12;12;true;;1;
1025;Inform User;System;1970/01/21 19:13:00.000;1970/01/21 19:13:00.000;Variant 12;12;;;;
1026;Register;System;1970/01/22 00:24:00.000;1970/01/22 00:24:00.000;Variant 10;10;;;;
1026;Analyze Defect;Tester3;1970/01/22 00:24:00.000;1970/01/22 00:29:00.000;Variant 10;10;;9;;T2
1026;Repair (Complex);SolverC3;1970/01/22 00:38:00.000;1970/01/22 01:18:00.000;Variant 10;10;;;;
1026;Inform User;System;1970/01/22 01:10:00.000;1970/01/22 01:10:00.000;Variant 10;10;;;;
1026;Test Repair;Tester3;1970/01/22 01:18:00.000;1970/01/22 01:25:00.000;Variant 10;10;true;;0;
1027;Register;System;1970/01/22 12:16:00.000;1970/01/22 12:16:00.000;Variant 21;21;;;;
1027;Analyze Defect;Tester1;1970/01/22 12:16:00.000;1970/01/22 12:24:00.000;Variant 21;21;;1;;T3
1027;Repair (Simple);SolverS2;1970/01/22 12:37:00.000;1970/01/22 12:46:00.000;Variant 21;21;;;;
1027;Inform User;System;1970/01/22 12:39:00.000;1970/01/22 12:39:00.000;Variant 21;21;;;;
1027;Test Repair;Tester6;1970/01/22 12:46:00.000;1970/01/22 12:54:00.000;Variant 21;21;true;;1;
1028;Register;System;1970/01/22 05:18:00.000;1970/01/22 05:18:00.000;Variant 26;26;;;;
1028;Analyze Defect;Tester6;1970/01/22 05:18:00.000;1970/01/22 05:28:00.000;Variant 26;26;;6;;T1
1028;Inform User;System;1970/01/22 05:44:00.000;1970/01/22 05:44:00.000;Variant 26;26;;;;
1028;Repair (Complex);SolverC2;1970/01/22 05:55:00.000;1970/01/22 06:06:00.000;Variant 26;26;;;;
1028;Test Repair;Tester4;1970/01/22 06:06:00.000;1970/01/22 06:14:00.000;Variant 26;26;true;;0;
1029;Register;System;1970/01/22 17:01:00.000;1970/01/22 17:01:00.000;Variant 12;12;;;;
1029;Analyze Defect;Tester1;1970/01/22 17:01:00.000;1970/01/22 17:08:00.000;Variant 12;12;;2;;T1
1029;Repair (Simple);SolverS3;1970/01/22 17:26:00.000;1970/01/22 17:38:00.000;Variant 12;12;;;;
1029;Test Repair;Tester6;1970/01/22 17:38:00.000;1970/01/22 17:47:00.000;Variant 12;12;true;;1;
1029;Inform User;System;1970/01/22 17:57:00.000;1970/01/22 17:57:00.000;Variant 12;12;;;;
103;Register;System;1970/01/03 01:41:00.000;1970/01/03 01:41:00.000;Variant 2;2;;;;
103;Analyze Defect;Tester2;1970/01/03 01:41:00.000;1970/01/03 01:49:00.000;Variant 2;2;;10;;T1
103;Repair (Complex);SolverC2;1970/01/03 02:15:00.000;1970/01/03 02:34:00.000;Variant 2;2;;;;
103;Test Repair;Tester3;1970/01/03 02:34:00.000;1970/01/03 02:39:00.000;Variant 2;2;true;;0;
103;Inform User;System;1970/01/03 02:37:00.000;1970/01/03 02:37:00.000;Variant 2;2;;;;
103;Archive Repair;System;1970/01/03 02:46:00.000;1970/01/03 02:46:00.000;Variant 2;2;true;;0;
1030;Register;System;1970/01/22 06:06:00.000;1970/01/22 06:06:00.000;Variant 29;29;;;;
1030;Analyze Defect;Tester6;1970/01/22 06:06:00.000;1970/01/22 06:15:00.000;Variant 29;29;;2;;T3
1030;Inform User;System;1970/01/22 06:31:00.000;1970/01/22 06:31:00.000;Variant 29;29;;;;
1030;Repair (Simple);SolverS3;1970/01/22 06:31:00.000;1970/01/22 06:44:00.000;Variant 29;29;;;;
1030;Test Repair;Tester1;1970/01/22 06:44:00.000;1970/01/22 06:50:00.000;Variant 29;29;true;;1;
1031;Register;System;1970/01/22 02:49:00.000;1970/01/22 02:49:00.000;Variant 10;10;;;;
1031;Analyze Defect;Tester2;1970/01/22 02:49:00.000;1970/01/22 02:55:00.000;Variant 10;10;;10;;T1
1031;Repair (Complex);SolverC2;1970/01/22 03:21:00.000;1970/01/22 03:38:00.000;Variant 10;10;;;;
1031;Inform User;System;1970/01/22 03:28:00.000;1970/01/22 03:28:00.000;Variant 10;10;;;;
1031;Test Repair;Tester5;1970/01/22 03:38:00.000;1970/01/22 03:45:00.000;Variant 10;10;true;;0;
1032;Register;System;1970/01/22 12:57:00.000;1970/01/22 12:57:00.000;Variant 29;29;;;;
1032;Analyze Defect;Tester1;1970/01/22 12:57:00.000;1970/01/22 13:04:00.000;Variant 29;29;;2;;T2
1032;Inform User;System;1970/01/22 13:21:00.000;1970/01/22 13:21:00.000;Variant 29;29;;;;
1032;Repair (Simple);SolverS3;1970/01/22 13:33:00.000;1970/01/22 13:43:00.000;Variant 29;29;;;;
1032;Test Repair;Tester6;1970/01/22 13:43:00.000;1970/01/22 13:49:00.000;Variant 29;29;true;;1;
1033;Register;System;1970/01/23 06:18:00.000;1970/01/23 06:18:00.000;Variant 43;43;;;;
1033;Analyze Defect;Tester4;1970/01/23 06:18:00.000;1970/01/23 06:25:00.000;Variant 43;43;;3;;T3
1033;Repair (Simple);SolverS1;1970/01/23 06:27:00.000;1970/01/23 06:34:00.000;Variant 43;43;;;;
1033;Test Repair;Tester2;1970/01/23 06:34:00.000;1970/01/23 06:40:00.000;Variant 43;43;false;;1;
1033;Restart Repair;System;1970/01/23 06:45:00.000;1970/01/23 06:45:00.000;Variant 43;43;;;;
1033;Repair (Simple);SolverS3;1970/01/23 06:45:00.000;1970/01/23 06:56:00.000;Variant 43;43;;;;
1033;Test Repair;Tester3;1970/01/23 06:56:00.000;1970/01/23 07:01:00.000;Variant 43;43;true;;2;
1033;Inform User;System;1970/01/23 07:08:00.000;1970/01/23 07:08:00.000;Variant 43;43;;;;
1034;Register;System;1970/01/22 12:56:00.000;1970/01/22 12:56:00.000;Variant 30;30;;;;
1034;Analyze Defect;Tester2;1970/01/22 12:56:00.000;1970/01/22 13:04:00.000;Variant 30;30;;4;;T1
1034;Inform User;System;1970/01/22 13:27:00.000;1970/01/22 13:27:00.000;Variant 30;30;;;;
1034;Repair (Simple);SolverS1;1970/01/22 13:34:00.000;1970/01/22 13:40:00.000;Variant 30;30;;;;
1034;Test Repair;Tester1;1970/01/22 13:40:00.000;1970/01/22 13:50:00.000;Variant 30;30;false;;1;
1034;Restart Repair;System;1970/01/22 14:00:00.000;1970/01/22 14:00:00.000;Variant 30;30;;;;
1034;Repair (Simple);SolverS3;1970/01/22 14:00:00.000;1970/01/22 14:20:00.000;Variant 30;30;;;;
1034;Test Repair;Tester1;1970/01/22 14:20:00.000;1970/01/22 14:27:00.000;Variant 30;30;true;;2;
1035;Register;System;1970/01/23 08:56:00.000;1970/01/23 08:56:00.000;Variant 10;10;;;;
1035;Analyze Defect;Tester3;1970/01/23 08:56:00.000;1970/01/23 09:02:00.000;Variant 10;10;;7;;T2
